0;1;2;3
Uzupełnij brakujące słowo w zdaniu;Polskie znaczenie jest podane w nawiasie;Se présenter;
J';29 ans.;ai;Mam 29 lat.
Je n'ai pas d';.;enfants;Nie mam dzieci.
J';à Bielsko-Biała;habite;Mieszkam w Bielsku-Białej.
Je;polonais et anglais.;parle;Mówię po polsku i po angielsku.
Je suis;.;étudiant;Jestem studentem.
Je ne parle pas;.;allemand;Nie mówię po niemiecku.
Je ne suis pas;.;marié;Nie jestem żonaty.
Je suis;.;célibataire;Jestem singlem / kawalerem.
Je ne suis;français.;pas;Nie jestem Francuzem.
