0;1;2;3
Uzupełnij;Podpowiedź w nawiasie;Les goûts;
Je;l'alcool.;déteste;Nie znoszę alkoholu.
J';la mer.;aime;Lubię morze.
J';la viande.;adore;Uwielbiam mięso.
Je;chanter.;n'aime pas;Nie lubię śpiewać.
J';voyager.;adore;Uwielbiam podróżować.
Je;la bière.;déteste;Nie znoszę piwa.
Je;le vin.;n'aime pas;Nie lubię wina.
J';la cuisine française.;aime;Lubię kuchnię francuską.
J';le fromage.;adore;Uwielbiam ser.
Je;le bruit.;déteste;Nie znoszę hałasu.
J';les animaux.;adore;Uwielbiam zwierzęta.
J';les fleurs.;aime;Lubię kwiaty.
